iso_time,t_rel_s,presence,distance,http_status
2026-09-17T19:38:02,97.7,True,331,200
2026-09-17T19:38:04,99.2,True,382,200
2026-09-17T19:38:05,100.7,True,426,200
2026-09-17T19:38:07,102.3,True,404,200
2026-09-17T19:38:08,103.8,True,404,200
2026-09-17T19:38:10,105.3,True,352,200
2026-09-17T19:38:11,106.8,True,466,200
2026-09-17T19:38:13,108.4,True,536,200
2026-09-17T19:38:14,109.9,True,536,200
2026-09-17T19:38:16,111.4,True,536,200
2026-09-17T19:38:17,112.9,True,536,200
2026-09-17T19:38:19,114.5,True,536,200
2026-09-17T19:38:20,116.0,True,536,200
2026-09-17T19:38:22,117.5,True,536,200
2026-09-17T19:38:23,119.0,True,536,200
2026-09-17T19:38:25,120.6,True,536,200
2026-09-17T19:38:27,122.1,True,536,200
2026-09-17T19:38:28,123.6,True,536,200
2026-09-17T19:38:30,125.1,True,536,200
2026-09-17T19:38:31,126.7,True,536,200
2026-09-17T19:38:33,128.2,True,536,200
2026-09-17T19:38:34,129.7,True,536,200
2026-09-17T19:38:36,131.3,True,536,200
2026-09-17T19:38:37,132.8,True,536,200
2026-09-17T19:38:39,134.3,True,554,200
2026-09-17T19:38:40,135.8,True,472,200
2026-09-17T19:38:42,137.4,True,393,200
2026-09-17T19:38:43,138.9,True,414,200
2026-09-17T19:38:45,140.4,True,393,200
2026-09-17T19:38:46,141.9,True,393,200
2026-09-17T19:38:48,143.5,True,393,200
2026-09-17T19:38:49,145.0,True,393,200
2026-09-17T19:38:51,146.5,True,353,200
2026-09-17T19:38:52,148.1,True,395,200
2026-09-17T19:38:54,149.6,True,398,200
2026-09-17T19:38:56,151.1,True,323,200
2026-09-17T19:38:57,152.6,True,267,200
2026-09-17T19:38:59,154.2,True,160,200
2026-09-17T19:39:00,155.7,True,119,200
2026-09-17T19:39:02,157.2,True,57,200
2026-09-17T19:39:03,158.7,True,16,200
2026-09-17T19:39:05,160.3,True,15,200
2026-09-17T19:39:06,161.8,True,79,200
2026-09-17T19:39:08,163.3,True,159,200
2026-09-17T19:39:09,164.9,True,232,200
2026-09-17T19:39:11,166.4,True,288,200
2026-09-17T19:39:12,167.9,True,313,200
2026-09-17T19:39:14,169.4,True,368,200
2026-09-17T19:39:15,171.0,True,461,200
2026-09-17T19:39:17,172.5,True,504,200
2026-09-17T19:39:18,174.1,True,582,200
2026-09-17T19:39:20,175.7,True,594,200
2026-09-17T19:39:22,177.2,True,553,200
2026-09-17T19:39:23,178.8,True,505,200
2026-09-17T19:39:25,180.3,True,421,200
2026-09-17T19:39:26,181.8,True,385,200
2026-09-17T19:39:28,183.4,True,589,200
2026-09-17T19:39:29,184.9,True,589,200
2026-09-17T19:39:31,186.4,True,589,200
2026-09-17T19:39:32,187.9,True,589,200
2026-09-17T19:39:34,189.5,True,589,200
2026-09-17T19:39:35,191.0,True,589,200
2026-09-17T19:39:37,192.5,True,589,200
2026-09-17T19:39:38,194.0,True,589,200
2026-09-17T19:39:40,195.6,True,589,200
2026-09-17T19:39:41,197.1,True,589,200
2026-09-17T19:39:43,198.6,True,589,200
2026-09-17T19:39:44,200.1,True,552,200
2026-09-17T19:39:46,201.6,True,402,200
2026-09-17T19:39:48,203.2,True,285,200
2026-09-17T19:39:49,204.7,True,251,200
2026-09-17T19:39:51,206.2,True,251,200
